user,total_pos_rating,total_neg_rating,total_pos_pur,total_neg_pur
0,31,7,34,4
1,280,51,215,116
2,315,58,252,121
3,338,62,279,121
4,623,131,518,236
5,892,196,714,374
6,904,198,719,383
7,1028,222,803,447
8,1281,281,1008,554
9,1512,330,1194,648
10,1536,335,1222,649
11,1759,396,1399,756
12,2029,455,1611,873
13,2039,456,1616,879
14,2059,459,1624,894
15,2070,460,1627,903
16,2262,503,1771,994
17,2456,555,1919,1092
18,2663,597,2098,1162
19,2696,606,2133,1169
20,2829,630,2221,1238
21,3133,696,2450,1379
22,3136,696,2453,1379
23,3182,703,2497,1388
24,3198,709,2516,1391
25,3198,709,2516,1391
26,3203,709,2519,1393
27,3301,729,2614,1416
28,3462,758,2740,1480
29,3473,766,2747,1492
30,3785,857,3008,1634
31,4038,926,3263,1701
32,4170,951,3356,1765
33,4205,959,3389,1775
34,4243,963,3427,1779
35,4461,1010,3607,1864
36,4750,1074,3831,1993
37,4852,1107,3937,2022
38,4894,1125,3972,2047
39,5087,1181,4120,2148
40,5229,1227,4242,2214
41,5247,1236,4269,2214
42,5474,1285,4437,2322
43,5479,1285,4442,2322
44,5795,1352,4706,2441
45,5820,1355,4731,2444
46,5827,1360,4736,2451
47,5843,1364,4750,2457
48,5849,1366,4756,2459
49,5892,1368,4789,2471
50,5915,1374,4818,2471
51,5931,1375,4829,2477
52,6160,1414,5001,2573
53,6182,1424,5030,2576
54,6193,1428,5041,2580
55,6222,1432,5063,2591
56,6279,1449,5113,2615
57,6453,1490,5256,2687
58,6465,1491,5265,2691
59,6474,1492,5269,2697
60,6628,1533,5384,2777
61,6653,1537,5412,2778
62,6660,1539,5416,2783
63,6693,1548,5451,2790
64,6759,1564,5514,2809
65,6914,1596,5631,2879
66,7171,1641,5810,3002
67,7194,1643,5825,3012
68,7459,1707,6015,3151
69,7656,1768,6180,3244
70,7665,1771,6182,3254
71,7935,1838,6395,3378
72,7979,1850,6435,3394
73,8028,1860,6489,3399
74,8344,1949,6746,3547
75,8347,1950,6746,3551
76,8368,1960,6774,3554
77,8590,2027,6951,3666
78,8609,2036,6978,3667
79,8628,2041,6985,3684
80,8639,2043,6993,3689
81,8866,2091,7145,3812
82,8891,2093,7170,3814
83,8898,2094,7174,3818
84,9153,2154,7402,3905
85,9177,2159,7427,3909
86,9179,2161,7428,3912
87,9196,2161,7439,3918
88,9201,2162,7440,3923
89,9211,2164,7446,3929
90,9262,2172,7483,3951
91,9310,2175,7533,3952
92,9348,2179,7570,3957
93,9436,2201,7628,4009
94,9693,2262,7829,4126
95,9825,2297,7934,4188
96,9825,2297,7934,4188
97,9882,2309,7994,4197
98,9960,2326,8056,4230
99,9995,2336,8084,4247
100,9997,2336,8086,4247
101,10020,2346,8115,4251
102,10043,2355,8143,4255
103,10210,2397,8291,4316
104,10262,2406,8349,4319
105,10277,2410,8363,4324
106,10437,2443,8469,4411
107,10510,2463,8537,4436
108,10545,2470,8575,4440
109,10573,2475,8587,4461
110,10590,2479,8602,4467
111,10857,2550,8816,4591
112,10886,2558,8837,4607
113,11182,2629,9095,4716
114,11192,2630,9104,4718
115,11242,2638,9159,4721
116,11356,2662,9253,4765
117,11658,2728,9470,4916
118,11801,2764,9587,4978
119,11932,2792,9693,5031
120,11976,2798,9734,5040
121,12004,2803,9753,5054
122,12042,2807,9790,5059
123,12176,2847,9957,5066
124,12499,2922,10216,5205
125,12745,2980,10390,5335
126,13001,3047,10623,5425
127,13259,3113,10814,5558
128,13451,3156,10945,5662
129,13474,3158,10956,5676
130,13612,3189,11065,5736
131,13633,3190,11087,5736
132,13950,3271,11346,5875
133,13952,3273,11350,5875
134,14027,3294,11422,5899
135,14038,3294,11425,5907
136,14061,3301,11440,5922
137,14069,3302,11440,5931
138,14113,3312,11482,5943
139,14134,3315,11496,5953
140,14138,3317,11498,5957
141,14461,3406,11777,6090
142,14536,3426,11828,6134
143,14677,3465,11925,6217
144,14700,3470,11953,6217
145,14711,3475,11959,6227
146,14761,3478,12009,6230
147,14802,3486,12049,6239
148,14934,3523,12151,6306
149,15117,3570,12279,6408
150,15355,3626,12469,6512
151,15601,3668,12641,6628
152,15623,3669,12659,6633
153,15812,3711,12811,6712
154,15814,3713,12811,6716
155,15833,3718,12834,6717
156,16111,3778,13081,6808
157,16321,3833,13248,6906
158,16403,3845,13302,6946
159,16440,3852,13340,6952
160,16452,3856,13350,6958
161,16454,3856,13352,6958
162,16472,3859,13365,6966
163,16613,3887,13495,7005
164,16614,3889,13495,7008
165,16631,3895,13516,7010
166,16873,3940,13709,7104
167,17025,3978,13827,7176
168,17060,3985,13864,7181
169,17104,3990,13896,7198
170,17137,3992,13922,7207
